year,month,MMWR week,week start date,BE count,BH count,BL count,BR count,CA count,CR count,CS count,CMHD count,CH count,CU count,DA count,DW count,DL count,FA count,FL count,GA count,GF count,GL count,GR count,HI count,JE count,LA count,LC count,LI count,LN count,MA count,MC count,ME count,MI count,MS count,PA count,PH count,PO count,PR count,PW count,PI count,RA count,RI count,RO count,RS count,SA count,SH count,SB count,ST count,SG count,TE count,TO count,TR count,VA count,WI count,YE count,MT Total count
2010,10,40,10/3/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10,41,10/10/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10,42,10/17/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10,43,10/24/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,10,44,10/31/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,45,11/7/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,11,46,11/14/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,11,47,11/21/2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,11,48,11/28/2010,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2010,12,49,12/5/2010,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2010,12,50,12/12/2010,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,18
2010,12,51,12/19/2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,0,0,1,21,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40
2010,12,52,12/26/2010,0,0,1,0,3,1,1,3,0,0,0,0,0,0,44,55,0,0,0,0,0,0,17,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,135
2011,1,1,1/2/2011,0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,48,0,0,0,0,0,1,38,0,0,0,0,0,0,3,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
2011,1,2,1/9/2011,0,1,0,0,0,0,10,7,0,0,0,0,0,1,27,1,0,0,0,0,0,0,30,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
2011,1,3,1/16/2011,0,0,0,0,0,0,2,3,0,0,0,0,1,1,6,40,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,85
2011,1,4,1/23/2011,0,0,0,0,0,0,9,11,1,0,0,1,0,0,2,35,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,1,5,0,0,0,3,0,1,4,3,0,1,0,0,0,0,0,4,0,3,114
2011,1,5,1/30/2011,0,0,0,0,0,0,15,11,0,0,0,12,0,0,60,26,0,0,0,2,0,0,31,0,1,1,0,0,0,2,7,1,1,0,0,0,5,0,9,4,0,2,0,0,0,0,4,0,2,0,2,198
2011,2,6,2/6/2011,3,0,1,0,0,0,39,18,1,0,0,0,1,0,57,28,0,0,0,3,0,0,42,0,11,0,0,0,0,2,10,0,0,0,0,0,4,0,15,24,0,1,0,0,0,0,2,0,1,0,2,265
2011,2,7,2/13/2011,5,0,0,0,0,0,15,15,0,11,0,0,0,1,117,33,0,1,0,0,0,0,57,0,28,0,0,0,0,0,13,0,8,0,0,0,11,0,19,32,0,0,0,0,0,0,0,0,2,3,2,373
2011,2,8,2/20/2011,1,3,4,0,0,0,20,15,1,5,0,0,0,0,85,39,0,5,0,2,7,0,125,1,32,1,0,0,0,2,7,0,6,0,0,0,8,0,15,23,0,3,0,0,0,5,1,0,0,0,5,421
2011,2,9,2/27/2011,10,0,0,0,3,0,18,2,1,10,0,0,0,1,83,33,0,6,0,0,9,0,1,0,26,0,0,0,0,3,6,0,15,0,0,0,0,2,12,18,0,1,0,0,0,0,10,0,8,0,1,279
2011,3,10,3/6/2011,32,0,0,0,0,0,32,45,3,6,1,0,0,1,82,26,0,4,0,0,11,0,139,0,21,0,0,1,0,0,14,0,0,0,0,1,6,2,14,21,0,0,0,0,0,0,32,0,24,0,0,518
2011,3,11,3/13/2011,4,0,0,0,0,0,32,17,4,3,3,0,0,1,116,16,0,0,0,0,16,0,131,0,24,0,0,0,0,4,12,0,0,0,0,0,0,0,19,30,0,0,0,0,0,0,0,0,18,0,2,452
2011,3,12,3/20/2011,1,0,0,1,1,0,26,11,8,15,1,0,0,0,115,13,0,0,0,0,20,0,69,0,30,0,0,0,0,0,10,0,0,0,0,0,0,0,17,21,0,0,0,0,0,2,1,0,4,0,2,368
2011,3,13,3/27/2011,0,0,0,0,1,0,19,0,4,28,2,0,0,0,80,7,0,0,0,0,0,0,79,0,20,0,0,0,0,0,11,0,0,0,0,0,0,0,7,21,0,0,0,0,6,0,2,0,6,0,1,294
2011,4,14,4/3/2011,0,0,0,0,0,0,8,7,1,0,0,0,0,0,52,4,0,0,0,0,0,0,0,0,12,0,1,0,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,2,0,1,0,1,0,2,105
2011,4,15,4/10/2011,0,0,0,0,0,0,8,3,0,28,0,0,0,0,55,1,0,0,0,0,0,24,71,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,2,0,0,0,0,0,0,208
2011,4,16,4/17/2011,0,0,0,0,0,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,22
2011,4,17,4/24/2011,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
